Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Trichoptera 32797,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, , , , , ,United States,Arkansas, ,White Rock Hwy. 68 Bridge, , ,34.746,-92.29, ,1000000,04/17/1963, , , , , , , , , , , , , ,5, , ,Vial,1/25/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Insect Collection 32809,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Winnebago,6 km S Cherry Valley Blomberg Rd., ,South Branch Kishwaukee River,42.1815,-88.9492, ,10,06/09/1999, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,1,1, , , , ,Vial,11/28/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Trichoptera 32246,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,Canada,Ontario,Carleton,10 mi. S. Ottawa, ,Jocks Creek,45.25991,-75.70997, ,1000,05/24/1964, ,W.E. Ricker, , , , , , ,1, , , , , , , ,Vial,1/8/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 31166,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Mason,Havana, ,Quiver Creek,40.35365,-90.02104, ,1000,04/29/1937, ,"H.H. Ross, C.O. Mohr", , ,H.H. Ross,1945, , , , , ,1, , , , ,Vial,1/8/2000 12:00:00 AM,8/25/2011 12:00:00 AM
Insect Collection 32574,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,slossonae, ,N Banks,1905,United States,Illinois,Whiteside,0.45 km S Spring Valley, ,Otter Creek,41.9026,-90.0363, ,10,05/10/2002, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2003, , , , ,38, , , , , ,Vial,11/15/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32095,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Winnebago,5.2 km E Roscoe, ,South Kinnikinnick Creek,42.4121,-88.9477, ,10,05/19/1999, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,22, , , , , ,Vial,11/26/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32096,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,slossonae, ,N Banks,1905,United States,Illinois,Winnebago,5.2 km E Roscoe, ,South Kinnikinnick Creek,42.4121,-88.9477, ,10,05/19/1999, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,1, , , , , ,Vial,11/26/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32105,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Winnebago,5.2 km E Roscoe, ,South Kinnikinnick Creek,42.4121,-88.9477, ,10,05/19/1999, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,77,8, , , , ,Vial,11/26/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32107,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,slossonae, ,N Banks,1905,United States,Illinois,Winnebago,5.2 km E Roscoe, ,South Kinnikinnick Creek,42.4121,-88.9477, ,10,05/19/1999, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,20,1, , , , ,Vial,11/26/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32576,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Whiteside,0.45 km S Spring Valley, ,Otter Creek,41.9026,-90.0363, ,10,05/10/2002, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2003, , , , ,56, , , , , ,Vial,11/15/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Trichoptera 29109,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,bronta, ,Ross,1938,United States,Illinois,Carroll,upstream Galena Street Bridge, ,Carrol Creek,42.10325,-89.98168,213,10,06/05/1940, ,"C.O. Mohr, B.D. Burks", , ,H.H. Ross,1941, , ,1,4, , , , , , ,Vial,11/30/1999 12:00:00 AM,6/5/2012 12:00:00 AM
